type,source,episodes,duration,rating,studio,num_related,hentai/romance,sports,youth,adventure/psychological,drama,fantasy/sci-fi,comedy,military,misc,Unknown,class
TV,Manga,13,21-30,R - 17+ (violence & profanity),TMS Entertainment,2,False,False,True,True,False,True,False,False,False,False,Really good
TV,Unknown,26,1-20,PG-13 - Teens 13 or older,other,0,True,False,True,False,True,False,True,False,True,False,Questionable
Music,Original,1,1-20,G - All Ages,other,0,False,False,True,False,False,False,False,False,True,False,Bad
TV,Unknown,200,1-20,PG - Children,other,0,False,False,True,True,False,True,True,False,False,False,Bad
OVA,Unknown,1,31-59,G - All Ages,Sunrise,1,False,False,False,True,False,True,False,True,False,False,Bad
OVA,Original,1,21-30,R - 17+ (violence & profanity),other,2,False,False,True,True,True,False,False,False,False,False,Really good
OVA,Unknown,1,31-59,PG-13 - Teens 13 or older,other,0,True,False,False,False,True,False,True,True,False,False,Bad
TV,Novel,45,21-30,PG-13 - Teens 13 or older,Studio Pierrot,1,False,False,True,True,False,True,False,False,False,False,Really good
OVA,Visual novel,1,1-20,PG-13 - Teens 13 or older,other,1,True,False,True,False,False,True,False,False,False,False,OK
ONA,Unknown,1,1-20,R - 17+ (violence & profanity),other,0,True,False,False,False,False,False,True,False,False,False,Bad
Special,Unknown,1,1-20,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,False,True,False,False,False,Questionable
TV,Manga,0,1-20,None,other,0,False,False,False,False,False,False,True,False,False,False,Bad
OVA,Manga,4,31-59,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,True,False,True,False,False,Really good
Special,Light novel,6,1-20,PG-13 - Teens 13 or older,other,1,False,False,False,False,False,False,True,False,False,False,Questionable
TV,Unknown,35,21-30,PG-13 - Teens 13 or older,other,0,False,False,False,True,False,True,False,True,False,False,Bad
Special,Light novel,1,60+,PG-13 - Teens 13 or older,Sunrise,1,True,False,True,False,False,True,False,True,False,False,OK
Special,Original,25,1-20,PG-13 - Teens 13 or older,Studio Pierrot,1,False,False,False,False,False,False,True,False,False,False,OK
ONA,Original,1,1-20,G - All Ages,other,1,False,False,False,False,False,False,True,False,False,False,Bad
TV,Manga,12,1-20,PG-13 - Teens 13 or older,Studio Pierrot,0,False,False,True,False,False,False,False,False,True,False,Questionable
Special,Unknown,1,1-20,PG-13 - Teens 13 or older,Sunrise,1,False,False,False,False,False,False,False,True,False,False,Bad
Movie,Other,1,60+,PG - Children,other,0,False,False,False,False,True,False,False,False,True,False,Bad
Movie,Original,1,21-30,R - 17+ (violence & profanity),Madhouse,2,False,False,False,True,True,True,False,False,False,False,Really good
Music,Music,1,1-20,PG - Children,other,1,False,False,False,False,False,False,False,False,True,False,Bad
TV,Manga,51,21-30,PG - Children,TMS Entertainment,0,False,False,False,False,False,True,False,False,False,False,Questionable
Movie,Unknown,1,31-59,G - All Ages,Toei Animation,1,False,False,False,True,True,True,True,False,False,False,Bad
TV,Manga,10,21-30,R+ - Mild Nudity,other,2,True,False,True,True,False,False,False,False,False,False,OK
OVA,Manga,1,31-59,None,other,2,False,False,True,True,False,True,False,True,False,False,Bad
Music,Music,1,1-20,G - All Ages,other,0,False,False,False,False,False,False,False,False,True,False,Bad
Movie,Original,1,1-20,None,other,0,False,False,True,False,False,True,False,False,False,False,Bad
TV,Other,10,1-20,R+ - Mild Nudity,other,2,True,False,False,False,False,True,False,False,False,False,Questionable
Movie,Unknown,1,1-20,G - All Ages,other,0,False,False,False,False,False,False,False,False,False,True,Bad
Special,Light novel,1,1-20,PG-13 - Teens 13 or older,other,2,False,False,False,False,False,False,True,False,False,False,OK
Special,Manga,4,1-20,G - All Ages,other,1,False,False,True,False,False,False,True,False,False,False,Bad
Special,Unknown,2,31-59,G - All Ages,Nippon Animation,1,True,False,True,False,False,False,True,False,False,False,Bad
